Category	Tier	Monthly	Yearly	Notes
Overall Buffer	essential	673.9	8086.8	10%
Overall Buffer	desirable	513.7	6164.4	10%
Overall Buffer	nice-to-have	583.5	7002	10%
Groceries / meal plan / Huel	essential	900	10800	30€ / day
Hygiene products	essential	15	200
Eating out	essential	200	2400	twice a week for 25€
Cleaning service	essential	100	1200	every other week, mostly covered by staying in hotels
Clothes and living environment	essential		1500
Gym	essential	100	1000	various
Supplements	essential	25	300	Protein, Vitamin D, etc.
Savings	essential	750	9000
Extended Savings	desirable	2000	24000
Extended Savings	nice-to-have	2500	30000
Rent	essential	1500	18000
Rent	desirable	1000	12000
Rent	nice-to-have	2500	30000
Personal assistant	desirable	400	4800	via Upwork
Miscellaneous contractors	desirable	75	900
Coaching / therapy	desirable	300	3000
Other forms of coaching	desirable	100	1200	e.g. personal trainer
Travel comfort budget	desirable	500	6000
Travel budget	essential	250	3000	Public transport, 1x long-distance, taxis
Leisure Activities	essential	750	9000
Leisure Activities	desirable	750	9000
Leisure Activities	nice-to-have	750	9000
