Name	Description	Category
iPhone	Assuming usage over 3y	Electronics
MacBook	Assuming usage over 3y	Electronics
iPad mini		Electronics
Apple Watch 7		Electronics
AirPods		Electronics
insta360x4	Action camera	Electronics
dji mini4 pro drone	Drone	Electronics
Multiple hard drives		Electronics
Miscellaneous electronic gadgets	Travel adapters, USB-C cables, etc.	Electronics
${HARDWARE_WALLET}	Crypto hardware wallet	Electronics
60L Backpack for all belongings		Bags
15L daypack		Bags
Two packing cubes		Bags
2 long, 2 short trousers		Clothing
Set of 8 black t-shirts, boxers, and socks with merino wool		Clothing
